"X";"Y";"PH"
12.2;73.6;5
21.8;76.6;5
31.4;77.6;4.8
41;73.6;4.9
50.6;73.6;5
60.2;74.6;4.6
69.8;76.6;4.9
79.4;75.6;5.1
89;74.6;5.1
98.6;75.6;5
108.2;77.6;4.9
117.8;74.6;4.9
127.4;74.6;4.6
137;73.6;5
146.6;76.6;4.9
4.6;82.8;5.1
14.2;80.8;5.3
23.8;83.8;5.1
33.4;84.8;4.7
43;80.8;4.7
52.6;80.8;4.6
62.2;81.8;4.5
71.8;83.8;4.5
81.4;82.8;4.7
91;81.8;4.7
100.6;82.8;4.9
110.2;84.8;4.6
119.8;81.8;4.7
129.4;81.8;4.5
139;80.8;4.3
148.6;83.8;4.6
3.6;90;5.2
13.2;88;5.1
22.8;91;5.3
32.4;92;5
42;88;5.1
51.6;88;4.7
61.2;89;5.2
70.8;91;5
80.4;90;5.1
90;89;4.9
99.6;90;4.7
109.2;92;4.7
118.8;89;4.4
128.4;89;4.5
138;88;4.3
147.6;91;4.4
3.6;97.2;4.6
13.2;95.2;4.8
22.8;98.2;4.8
32.4;99.2;5
42;95.2;4.9
51.6;95.2;4.8
61.2;96.2;4.7
70.8;98.2;4.4
80.4;97.2;4.5
90;96.2;4.6
99.6;97.2;4.5
109.2;99.2;4.5
118.8;96.2;4.4
128.4;96.2;4.3
138;95.2;4.2
147.6;98.2;4.6
4.6;104.4;4.8
14.2;102.4;4.7
23.8;105.4;4.6
33.4;106.4;4.7
43;102.4;4.5
52.6;102.4;4.8
62.2;103.4;4.7
71.8;105.4;4.6
81.4;104.4;4.5
91;103.4;4.7
100.6;104.4;4.3
110.2;106.4;4.5
119.8;103.4;4.4
129.4;103.4;4.6
139;102.4;5
148.6;105.4;5.9
1.6;111.6;4.9
11.2;109.6;4.7
20.8;112.6;4.7
30.4;113.6;4.9
40;109.6;4.7
49.6;109.6;5.1
59.2;110.6;4.8
68.8;112.6;4.7
78.4;111.6;4.8
88;110.6;4.5
97.6;111.6;4.5
107.2;113.6;4.6
116.8;110.6;4.6
126.4;110.6;5.2
136;109.6;5.5
145.6;112.6;5.2
